Age of Casualty,Number of Vehicles
36,5
27,5
68,1
49,2
33,2
28,2
17,2
18,2
8,2
73,1
18,2
50,2
36,2
24,1
41,2
36,2
12,1
21,1
64,2
42,2
41,2
50,2
28,1
45,1
36,1
8,1
30,2
39,2
24,2
20,2
26,2
45,2
23,2
60,2
48,2
67,1
73,1
79,3
23,1
31,1
80,2
46,2
25,2
43,2
70,2
63,2
35,1
33,2
33,2
28,2
29,3
63,2
15,1
47,2
21,2
19,1
68,1
72,3
38,2
27,2
43,1
22,1
45,1
22,1
63,1
89,1
22,2
23,2
48,2
58,1
40,1
23,2
19,2
20,2
21,2
21,2
18,2
19,2
61,1
18,2
30,1
34,1
34,2
34,2
83,1
67,2
54,2
21,2
29,1
27,2
26,2
11,1
21,2
46,3
54,2
57,2
40,2
25,2
24,3
20,1
25,1
17,1
5,2
32,2
53,2
36,2
32,2
3,2
9,2
11,2
33,2
62,2
48,1
62,2
61,2
19,2
63,2
32,2
86,5
26,2
41,1
24,2
38,2
47,1
18,1
32,2
24,2
23,2
26,2
15,2
46,6
33,6
20,5
23,5
26,5
20,2
32,2
28,2
52,2
68,2
22,2
22,2
79,1
82,1
70,2
38,2
36,2
20,2
20,2
18,2
18,2
32,1
57,2
30,2
65,2
55,2
37,1
53,2
29,4
49,4
82,1
28,2
59,2
37,2
17,2
28,3
2,3
33,2
22,1
44,2
35,2
51,2
60,1
23,2
13,2
45,2
52,1
28,1
70,1
22,1
22,2
33,3
53,1
20,1
41,2
43,2
56,2
22,2
38,1
41,2
51,2
49,2
38,1
8,1
18,1
49,2
47,2
19,2
28,2
23,1
40,2
84,1
30,1
77,1
80,1
57,2
54,1
18,1
51,2
41,3
21,2
58,2
25,2
51,2
24,2
25,3
23,3
38,3
24,3
50,1
20,2
29,2
26,2
21,2
38,1
40,2
41,2
14,2
57,2
46,2
6,1
23,1
46,2
59,2
59,2
22,2
53,1
38,2
31,2
27,2
15,2
32,3
33,3
25,2
23,2
25,2
54,2
41,3
25,2
17,2
26,2
68,2
25,2
32,2
66,1
22,1
26,2
54,2
51,2
19,3
24,2
13,2
63,2
43,2
5,2
9,2
31,2
52,2
40,3
24,2
48,2
36,1
21,1
2,1
36,2
48,1
23,1
22,2
32,2
23,2
22,2
21,2
24,2
66,1
42,2
19,2
18,2
21,2
33,1
33,1
64,1
25,1
21,2
24,2
26,2
34,2
12,1
44,3
21,1
32,2
55,3
74,1
20,1
18,1
18,1
18,1
46,1
62,2
29,2
29,2
18,1
51,1
19,1
20,1
25,1
19,2
29,2
26,2
29,2
52,2
10,2
32,2
21,2
8,2
11,2
6,2
82,1
51,1
40,3
47,3
40,3
39,1
48,1
25,2
40,2
28,2
45,1
67,2
53,1
28,2
45,2
78,1
26,1
27,1
44,1
53,2
43,2
14,2
13,2
29,3
50,3
22,3
34,3
28,2
46,2
24,1
39,1
44,2
27,2
42,2
21,2
52,2
26,2
32,2
39,2
35,2
20,2
48,2
45,2
20,1
24,2
31,2
20,7
46,7
37,7
39,7
22,7
6,2
35,2
45,3
28,3
25,3
48,1
40,1
20,2
36,2
20,2
54,2
90,2
20,2
90,1
39,1
31,3
57,3
38,1
15,2
43,2
60,3
82,3
80,3
44,3
2,2
91,2
59,1
19,5
24,2
42,2
83,2
60,2
42,2
62,3
23,3
57,2
82,3
26,2
43,2
50,2
23,2
20,3
19,3
25,2
60,1
60,1
46,1
39,2
43,2
57,2
21,2
24,2
3,1
38,2
26,2
20,1
21,1
14,1
13,1
15,1
14,1
29,2
84,1
46,2
57,2
28,2
49,2
40,4
43,2
34,2
28,2
45,2
40,2
34,2
32,1
37,2
42,2
18,1
36,2
37,2
14,1
33,1
17,1
34,2
52,2
47,2
43,2
43,2
26,1
7,1
29,3
25,3
15,2
30,1
22,2
46,4
43,2
38,2
72,2
24,2
19,1
54,2
64,2
66,3
21,3
25,2
58,3
40,1
17,2
35,2
49,1
48,1
46,2
6,1
23,2
18,2
14,2
18,2
18,2
14,2
20,2
39,2
2,1
46,2
75,1
55,1
38,2
20,2
20,2
13,1
74,2
39,1
29,2
60,2
8,2
27,2
31,2
2,2
46,2
33,2
24,1
26,2
53,2
39,2
56,3
69,2
30,2
57,2
27,2
86,1
20,2
23,2
18,2
67,1
23,2
46,2
24,2
39,3
19,1
31,2
35,2
28,2
22,2
68,2
71,2
73,2
21,2
19,2
25,2
30,2
48,2
28,3
16,1
34,2
29,2
39,2
39,2
18,2
2,2
30,2
25,2
19,2
40,2
4,2
16,2
22,1
20,2
25,2
56,2
47,2
23,2
15,2
18,2
41,1
39,1
31,2
23,2
39,1
54,2
32,2
29,1
27,2
19,2
36,1
6,1
3,1
75,1
25,3
19,3
65,2
44,2
8,2
24,3
25,3
34,2
20,1
22,2
29,2
38,2
48,1
37,2
44,2
25,3
20,3
20,3
46,3
44,2
29,1
4,3
26,1
66,2
69,2
32,2
7,2
27,2
19,3
48,3
18,2
40,2
34,2
74,3
63,3
69,3
72,3
70,3
49,4
25,3
20,1
55,1
32,2
18,3
52,3
76,1
31,2
28,2
43,1
26,2
48,1
41,1
58,2
35,1
18,2
33,2
38,2
23,2
23,1
37,2
38,2
82,2
23,2
58,2
26,4
44,4
44,4
47,4
57,3
78,3
9,2
25,2
33,2
42,2
25,2
37,1
20,2
27,3
30,3
51,2
47,2
2,2
19,2
32,1
87,1
17,2
67,2
25,2
5,2
33,3
37,2
24,2
16,2
61,2
31,1
34,2
33,2
12,2
3,1
32,1
3,1
7,1
12,2
38,2
35,1
80,1
25,1
63,2
55,2
30,2
42,2
51,2
11,1
53,1
51,2
23,3
27,3
37,3
18,2
19,2
18,2
31,3
9,3
59,2
44,1
20,1
49,2
53,2
57,2
83,3
16,2
54,3
42,3
55,1
4,1
84,2
40,2
37,1
31,1
42,2
17,2
28,2
39,2
32,1
55,1
64,1
24,2
23,1
59,2
30,2
10,2
83,2
70,2
73,1
43,1
44,2
12,2
14,2
25,1
40,2
42,2
35,1
27,2
5,1
21,2
28,1
12,1
44,2
12,1
38,2
19,1
26,1
47,3
34,2
44,2
21,2
70,1
57,2
33,1
39,1
44,2
24,2
43,1
43,1
14,1
50,2
23,2
53,2
57,2
27,5
27,5
25,2
38,2
21,1
44,2
52,3
52,1
51,1
34,1
23,1
27,2
54,1
8,1
5,1
42,2
40,2
50,2
22,2
55,2
38,2
33,2
20,1
21,2
19,3
34,3
49,2
9,1
56,2
56,2
45,2
45,2
45,2
17,2
19,2
40,2
54,5
52,5
42,5
55,5
45,2
41,2
45,2
24,3
19,3
15,1
31,2
23,2
39,2
34,3
20,2
18,2
37,2
12,1
25,3
70,2
53,3
45,3
11,1
27,2
43,2
18,2
16,2
33,1
6,1
43,2
23,3
55,2
20,2
55,1
34,2
55,2
51,2
27,2
21,2
43,2
29,2
47,2
54,1
27,2
27,2
30,2
58,2
14,2
31,2
35,1
23,1
53,2
39,1
46,2
16,1
50,2
72,2
39,2
37,2
19,2
47,1
42,2
34,2
23,2
25,2
27,2
35,2
35,1
36,2
56,1
20,1
47,1
68,1
20,2
30,1
33,2
38,2
76,2
37,3
64,3
23,2
65,2
30,3
57,3
86,1
46,2
85,2
17,2
46,2
6,1
16,1
31,1
22,1
15,1
21,1
59,2
8,2
6,2
45,2
24,2
40,4
6,5
27,5
23,5
25,3
46,3
29,3
21,2
19,2
22,2
27,2
24,2
60,2
27,2
23,1
55,2
63,2
50,2
31,1
34,2
34,1
17,4
32,4
36,4
55,4
28,6
30,1
64,2
48,2
37,2
24,1
44,2
65,2
50,3
20,1
18,1
16,1
24,2
43,2
24,1
24,1
62,2
52,2
7,1
23,1
2,1
56,2
54,2
16,2
21,2
29,2
24,2
25,2
51,2
38,1
21,1
24,2
31,1
32,3
28,3
35,1
55,1
52,2
53,1
12,2
20,2
29,2
19,2
85,1
27,2
25,2
27,2
28,1
9,1
17,1
79,1
56,1
57,1
72,2
41,2
12,2
63,1
22,2
41,1
66,2
58,2
26,1
51,2
56,4
57,4
48,2
29,2
43,2
45,2
24,2
37,2
40,2
49,2
63,2
68,2
59,2
27,2
52,1
22,2
7,2
65,2
25,2
67,2
21,2
25,2
14,1
24,1
78,3
77,3
20,3
49,3
27,2
49,1
10,1
19,2
19,1
33,1
40,2
31,2
40,2
21,2
20,2
13,1
48,2
21,2
87,2
30,3
63,1
28,2
27,2
48,2
85,1
25,1
32,2
49,1
34,1
53,2
28,3
39,2
8,2
25,2
10,2
44,1
47,2
58,3
46,3
41,3
46,4
24,4
20,2
12,2
36,1
3,1
28,1
11,1
11,2
47,3
89,3
29,2
26,2
43,1
44,2
43,1
47,3
28,2
34,3
