Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
5,Jan,1205,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
5,Jan,1205,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
1,Jan,1732,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Car
2,Jan,930,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,1315,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1315,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jan,1645,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Motorcycle over 50cc and up to 125cc
2,Jan,1421,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Car
2,Jan,1421,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
1,Jan,1749,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Jan,1325,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,Motorcycle over 125cc and up to 500cc
2,Jan,830,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,800,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Jan,1730,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,MIDDLE-AGED,Car
2,Jan,1845,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,1600,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Jan,1610,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,Jan,1645,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,1755,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,1755,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1804,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jan,807,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Jan,815,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jan,2005,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,MIDDLE-AGED,Car
1,Jan,830,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Jan,830,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Car
2,Jan,1410,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Mar,22,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1855,Wet / Damp,Darkness: no street lighting,Fine with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1855,Wet / Damp,Darkness: no street lighting,Fine with high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jan,35,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,35,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Taxi/Private hire car
2,Jan,35,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,MIDDLE-AGED,Taxi/Private hire car
2,Jan,1045,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,1130,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Taxi/Private hire car
1,Jan,1750,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Car
1,Jan,1254,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,SENIOR CITIZEN,Goods vehicle 7.5 tonnes mgw and over
3,Jan,1510,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,Jan,2239,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Jan,410,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
2,Jan,1130,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,1210,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,SENIOR CITIZEN,Car
2,Jan,1250,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,1250,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,1250,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1250,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,Jan,1221,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Jan,1438,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,1850,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jan,1850,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,Jan,745,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jan,955,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Pedal cycle
1,Jan,1530,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,Jan,1610,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Fatal,Male,SENIOR CITIZEN,Pedal cycle
2,Jan,1714,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Jan,1630,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Car
1,Jan,1420,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 500cc
3,Jan,1430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1759,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,MIDDLE-AGED,Car
2,Jan,1740,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
1,Jan,2347,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jan,2347,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Jan,1739,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
1,Jan,1500,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,MIDDLE-AGED,Car
1,Jan,1115,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Car
1,Jan,1416,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,SENIOR CITIZEN,Car
2,Jan,1659,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Jan,1715,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,655,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
1,Jan,737,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Jan,1110,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Jan,1524,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1539,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Jan,2010,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,2010,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Jan,2010,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Jan,2010,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
2,Jan,1539,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,Jan,820,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedestrian,Fatal,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Jan,1011,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,M/cycle 50cc and under
1,Jan,1130,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Jan,1800,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Jan,1541,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1541,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Jan,1558,Dry,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1605,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Jan,2154,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,2154,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jan,1817,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Jan,1830,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1830,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Jan,745,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,Jan,930,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,Jan,944,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,915,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1354,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Pedal cycle
2,Jan,1500,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1740,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
3,Jan,828,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Jan,925,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Jan,1120,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Jan,1525,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,Motorcycle over 50cc and up to 125cc
2,Jan,1655,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Jan,1655,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,1655,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1800,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1800,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Jan,2021,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Jan,2021,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Jan,2021,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Jan,2021,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,2021,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
1,Jan,2320,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Motorcycle over 50cc and up to 125cc
2,Jan,844,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,844,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1114,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Jan,1328,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Jan,1328,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
5,Jan,1349,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Jan,1555,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Jan,1640,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Jan,1925,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,1925,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
1,Jan,2025,Dry,Darkness: no street lighting,Fine with high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
1,Jan,242,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Goods vehicle 7.5 tonnes mgw and over
2,Jan,829,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,829,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,1600,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Jan,1730,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
2,Jan,717,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,YOUNG,Car
6,Jan,810,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
6,Jan,810,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
5,Jan,1205,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
5,Jan,1205,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
5,Jan,1205,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
2,Jan,2044,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Jan,254,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Jan,254,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Other Vehicle
2,Jan,729,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Car
2,Jan,729,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Jan,900,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Car
2,Jan,1530,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
1,Jan,1018,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,SENIOR CITIZEN,Car
1,Jan,1130,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
